[2026-02-25 00:56:26 UTC] Weather Whale: NEW POSITION — Will the highest temperature in Seattle be 37°F or below on February 13? | Side=yes | Shares=312.904
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - January 13, 2:45PM-3:00PM ET | Side=down | Shares=26.5
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 20, 9:15PM-9:30PM ET | Side=down | Shares=382.5
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 9, 8:45PM-9:00PM ET | Side=down | Shares=100.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 8, 2:00PM-2:15PM ET | Side=down | Shares=513.948517
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 12, 11:00PM-11:15PM ET | Side=down | Shares=555.237916
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 7, 1:45PM-2:00PM ET | Side=up | Shares=925.210786
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 9, 10:45AM-11:00AM ET | Side=up | Shares=749.669431
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 8, 4:15PM-4:30PM ET | Side=up | Shares=399.957711
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 8, 1:30AM-1:45AM ET | Side=down | Shares=746.1436
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - February 20, 5:00AM-5:15AM ET | Side=down | Shares=8.1
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 23, 5:45PM-6:00PM ET | Side=down | Shares=492.1875
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 4, 4:30AM-4:45AM ET | Side=up | Shares=26.20833
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 15, 7:30AM-7:45AM ET | Side=up | Shares=150.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - January 30, 4:30AM-4:45AM ET | Side=down | Shares=412.091221
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 8, 10:15AM-10:30AM ET | Side=down | Shares=960.367053
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 4, 12:15PM-12:30PM ET | Side=down | Shares=1297.677344
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 8, 3:00AM-3:15AM ET | Side=down | Shares=1749.994891
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 12, 11:00AM-11:15AM ET | Side=down | Shares=5.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - January 28, 4:15PM-4:30PM ET | Side=down | Shares=2.86
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 20, 4:10AM-4:15AM ET | Side=down | Shares=1145.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 10, 5:45AM-6:00AM ET | Side=up | Shares=519.676367
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 8, 9:00PM-9:15PM ET | Side=up | Shares=13.68
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 14, 9:00AM-9:15AM ET | Side=down | Shares=6285.905356
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 16, 7:45AM-8:00AM ET | Side=down | Shares=14.04
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 20, 2:15AM-2:20AM ET | Side=down | Shares=249.877922
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 5, 7:00PM-7:15PM ET | Side=up | Shares=2647.528444
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 23, 1:30AM-1:45AM ET | Side=down | Shares=3057.861894
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 22, 10:00AM-10:15AM ET | Side=up | Shares=30.943332
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 12, 7:45AM-7:50AM ET | Side=down | Shares=1125.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 11, 10:15AM-10:30AM ET | Side=down | Shares=1.912279
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 28, 9:45AM-10:00AM ET | Side=up | Shares=249.89
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 14, 3:00AM-3:15AM ET | Side=down | Shares=1499.969984
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 13, 2:00AM-2:05AM ET | Side=down | Shares=869.625101
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 21, 5:20AM-5:25AM ET | Side=down | Shares=99.978717
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 8, 5:00PM-5:15PM ET | Side=down | Shares=95.305
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - January 21, 2:45PM-3:00PM ET | Side=down | Shares=34.34
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 14, 8:15PM-8:30PM ET | Side=up | Shares=79.58
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 16, 4:15AM-4:30AM ET | Side=down | Shares=1643.023089
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 13, 4:45AM-5:00AM ET | Side=down | Shares=1500.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 19, 6:15AM-6:20AM ET | Side=up | Shares=121.091676
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - January 28, 6:45PM-7:00PM ET | Side=down | Shares=149.561396
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 7, 10:30PM-10:45PM ET | Side=up | Shares=70.20408
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 5, 3:00AM-3:15AM ET | Side=down | Shares=16.125
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 12, 8:45PM-9:00PM ET | Side=down | Shares=85.921555
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 12, 5:55PM-6:00PM ET | Side=down | Shares=556.728752
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 5, 2:00AM-2:15AM ET | Side=down | Shares=84.166664
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 19, 6:45AM-7:00AM ET | Side=up | Shares=16.14
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - January 27, 6:45AM-7:00AM ET | Side=down | Shares=281.260942
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - January 13, 3:15AM-3:30AM ET | Side=down | Shares=16.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 24, 4:00PM-4:15PM ET | Side=up | Shares=100.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 21, 9:55AM-10:00AM ET | Side=up | Shares=153.944599
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 12, 10:30PM-10:45PM ET | Side=up | Shares=124.870625
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 13, 3:45PM-3:50PM ET | Side=up | Shares=240.15
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 12, 10:00AM-10:15AM ET | Side=up | Shares=386.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 16, 12:10PM-12:15PM ET | Side=up | Shares=42.826121
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 23, 2:15AM-2:30AM ET | Side=down | Shares=5.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 24, 8:55AM-9:00AM ET | Side=up | Shares=192.451922
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 9, 3:15AM-3:30AM ET | Side=down | Shares=714.907556
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 14, 3:55PM-4:00PM ET | Side=down | Shares=185.446665
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 11, 7:15AM-7:30AM ET | Side=down | Shares=572.042196
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 20, 2:15AM-2:30AM ET | Side=down | Shares=716.643447
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 23, 1:30PM-1:45PM ET | Side=down | Shares=8.425923
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - February 23, 6:00AM-6:15AM ET | Side=down | Shares=136.433959
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - February 20, 7:30AM-7:45AM ET | Side=up | Shares=81.62
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 3, 4:15PM-4:30PM ET | Side=down | Shares=1750.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - January 30, 2:45AM-3:00AM ET | Side=down | Shares=125.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 12, 3:45AM-4:00AM ET | Side=down | Shares=125.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 19, 11:30AM-11:35AM ET | Side=down | Shares=100.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 13, 12:45AM-1:00AM ET | Side=up | Shares=729.53
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 30, 7:45AM-8:00AM ET | Side=down | Shares=294.793841
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 17, 3:30AM-3:45AM ET | Side=up | Shares=16.81818
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 26, 3:00PM-3:15PM ET | Side=up | Shares=96.504372
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 16, 9:15AM-9:30AM ET | Side=up | Shares=40.5
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 19, 9:15AM-9:30AM ET | Side=up | Shares=499.304613
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 14, 1:45AM-2:00AM ET | Side=down | Shares=233.682447
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 20, 9:15PM-9:20PM ET | Side=up | Shares=168.604145
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 12, 3:45PM-4:00PM ET | Side=up | Shares=50.04
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 27, 9:45AM-10:00AM ET | Side=down | Shares=118.773635
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 14, 2:50AM-2:55AM ET | Side=down | Shares=46.09
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 24, 6:50AM-6:55AM ET | Side=up | Shares=100.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 14, 6:40PM-6:45PM ET | Side=up | Shares=44.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 23, 5:20AM-5:25AM ET | Side=up | Shares=215.922513
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 15, 11:55PM-12:00AM ET | Side=down | Shares=259.822003
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 28, 8:30AM-8:45AM ET | Side=down | Shares=9.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — XRP Up or Down - January 12, 3:30PM-3:45PM ET | Side=up | Shares=448.086657
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 4, 1:30PM-1:45PM ET | Side=down | Shares=23.453075
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 13, 2:45AM-3:00AM ET | Side=down | Shares=1266.912305
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 10, 1:30AM-1:45AM ET | Side=down | Shares=1092.400335
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 2, 4:45AM-5:00AM ET | Side=down | Shares=299.998978
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 4, 1:00PM-1:15PM ET | Side=up | Shares=100.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 27, 2:15PM-2:30PM ET | Side=down | Shares=492.1938
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - January 26, 5:30PM-5:45PM ET | Side=down | Shares=253.250315
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 9, 9:15PM-9:30PM ET | Side=down | Shares=5.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 24, 5:45AM-6:00AM ET | Side=down | Shares=199.990186
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 28, 3:00AM-3:15AM ET | Side=down | Shares=500.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 8, 7:30AM-7:45AM ET | Side=down | Shares=418.753834
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 10, 11:30PM-11:45PM ET | Side=up | Shares=378.045
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 28, 11:00AM-11:15AM ET | Side=up | Shares=529.98
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - January 11, 3:00PM-3:15PM ET | Side=up | Shares=374.99818
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 22, 4:00PM-4:15PM ET | Side=down | Shares=104.778179
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 20, 4:30AM-4:45AM ET | Side=down | Shares=32.11
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 16, 5:45PM-6:00PM ET | Side=down | Shares=751.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - February 16, 8:00AM-8:15AM ET | Side=down | Shares=5.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 14, 1:00AM-1:15AM ET | Side=up | Shares=87.03739
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 15, 11:15AM-11:30AM ET | Side=down | Shares=250.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 13, 1:05PM-1:10PM ET | Side=down | Shares=57.592591
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 12, 3:15PM-3:30PM ET | Side=up | Shares=134.8032
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 13, 4:30AM-4:45AM ET | Side=down | Shares=432.595734
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 20, 11:00PM-11:15PM ET | Side=up | Shares=49.99408
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 19, 9:00PM-9:15PM ET | Side=down | Shares=228.416251
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 17, 4:45AM-5:00AM ET | Side=up | Shares=9.196426
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 5, 3AM ET | Side=down | Shares=249.997923
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 8, 1:00AM-1:15AM ET | Side=up | Shares=249.997825
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 14, 5:00AM-5:15AM ET | Side=down | Shares=147.300906
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 20, 8:10PM-8:15PM ET | Side=down | Shares=50.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 14, 8:15AM-8:20AM ET | Side=up | Shares=49.5
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 5, 9:45PM-10:00PM ET | Side=up | Shares=1884.058057
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 20, 3PM ET | Side=down | Shares=180.369813
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - February 12, 10:30AM-10:45AM ET | Side=up | Shares=378.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - January 20, 8:15PM-8:30PM ET | Side=down | Shares=27.91
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 20, 7:05PM-7:10PM ET | Side=up | Shares=400.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 24, 6:45PM-7:00PM ET | Side=up | Shares=400.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 1, 8:30PM-8:45PM ET | Side=up | Shares=2562.693016
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 3, 4:00AM-4:15AM ET | Side=down | Shares=712.2475
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 7, 6:15PM-6:30PM ET | Side=down | Shares=945.146491
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 19, 4:15AM-4:20AM ET | Side=up | Shares=136.239405
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - February 24, 2:15AM-2:30AM ET | Side=down | Shares=81.824148
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 11, 1:45AM-2:00AM ET | Side=down | Shares=853.141691
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 13, 5:45PM-6:00PM ET | Side=down | Shares=126.2
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - January 29, 11:45PM-12:00AM ET | Side=up | Shares=221.582856
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 15, 7:15PM-7:30PM ET | Side=down | Shares=115.382155
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 19, 6:15PM-6:20PM ET | Side=down | Shares=214.408433
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 7, 7AM ET | Side=down | Shares=399.25
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 21, 10:25PM-10:30PM ET | Side=down | Shares=49.992639
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 13, 11:30PM-11:45PM ET | Side=up | Shares=477.673068
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 13, 8:30PM-8:45PM ET | Side=up | Shares=403.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 10, 3:45PM-4:00PM ET | Side=up | Shares=499.651221
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 13, 10:35PM-10:40PM ET | Side=up | Shares=50.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 20, 2:15PM-2:30PM ET | Side=up | Shares=17.68
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 10, 12:30PM-12:45PM ET | Side=down | Shares=8.291665
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 21, 9:40AM-9:45AM ET | Side=down | Shares=346.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 12, 2:30AM-2:45AM ET | Side=up | Shares=704.977639
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 19, 6:00PM-6:05PM ET | Side=up | Shares=1097.444537
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 6, 12:45AM-1:00AM ET | Side=down | Shares=2544.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 17, 5:30PM-5:45PM ET | Side=up | Shares=299.85
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - February 14, 9:15PM-9:30PM ET | Side=up | Shares=25.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 9, 7:00PM-7:15PM ET | Side=up | Shares=691.645088
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 10, 12:15PM-12:30PM ET | Side=down | Shares=5.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 19, 7:45AM-8:00AM ET | Side=up | Shares=356.545383
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 3, 3:45PM-4:00PM ET | Side=down | Shares=2499.25
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 10, 6:45PM-7:00PM ET | Side=down | Shares=885.458227
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 10, 5:15PM-5:30PM ET | Side=down | Shares=1170.565378
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 4, 1AM ET | Side=down | Shares=951.583074
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 17, 8:45AM-8:50AM ET | Side=down | Shares=127.984638
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 6, 3:15AM-3:30AM ET | Side=up | Shares=65.089073
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 13, 11:30PM-11:35PM ET | Side=up | Shares=50.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - February 3, 3:30AM-3:45AM ET | Side=up | Shares=29.821424
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 22, 5:45AM-6:00AM ET | Side=down | Shares=250.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 9, 10:45AM-11:00AM ET | Side=up | Shares=299.995383
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - January 13, 12:00PM-12:15PM ET | Side=up | Shares=1124.998626
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 7, 1:15PM-1:30PM ET | Side=down | Shares=67.1238
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 19, 7:30AM-7:45AM ET | Side=up | Shares=780.997675
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 9, 11:30AM-11:45AM ET | Side=down | Shares=937.107842
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 6, 9:00PM-9:15PM ET | Side=down | Shares=299.464932
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 22, 5AM ET | Side=down | Shares=200.127642
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 23, 9:20AM-9:25AM ET | Side=up | Shares=1699.218065
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 8, 8:15PM-8:30PM ET | Side=down | Shares=1.164339
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - December 31, 9:30AM-9:45AM ET | Side=up | Shares=299.59185
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 15, 4:30AM-4:45AM ET | Side=up | Shares=5.92719
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 22, 5:15AM-5:30AM ET | Side=down | Shares=50.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - February 10, 9:30PM-9:45PM ET | Side=up | Shares=250.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 8, 9:45AM-10:00AM ET | Side=down | Shares=958.448765
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 11, 8:45AM-9:00AM ET | Side=down | Shares=1499.9725
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - February 3, 11:15AM-11:30AM ET | Side=up | Shares=4.811763
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 9, 6:45PM-7:00PM ET | Side=up | Shares=519.571376
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 4, 4:45AM-5:00AM ET | Side=down | Shares=196.739801
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 16, 8:45AM-9:00AM ET | Side=down | Shares=526.293001
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 7, 3:45AM-4:00AM ET | Side=down | Shares=1100.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 4, 5:30PM-5:45PM ET | Side=up | Shares=2.29
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - February 5, 3:30PM-3:45PM ET | Side=down | Shares=323.503946
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 14, 12:00AM-12:15AM ET | Side=up | Shares=19.5
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 20, 1:30PM-1:45PM ET | Side=up | Shares=19.019606
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - January 30, 6:15AM-6:30AM ET | Side=up | Shares=374.824001
